COLLISION_PKID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PRE_CRASH
588,4479145,2021-11-19,21:33:00,Going Straight Ahead
589,4479267,2021-11-20,05:17:00,Going Straight Ahead
590,4480021,2021-11-20,18:21:00,Going Straight Ahead
591,4479808,2021-11-20,04:05:00,Going Straight Ahead
592,4479732,2021-11-21,14:30:00,Starting from Parking
593,4480166,2021-11-22,07:30:00,Going Straight Ahead
594,4479932,2021-11-22,10:00:00,Going Straight Ahead
595,4480395,2021-11-23,10:30:00,Going Straight Ahead
596,4481290,2021-11-23,13:15:00,Stopped in Traffic
597,4481167,2021-11-24,15:07:00,Going Straight Ahead
598,4481725,2021-11-24,11:38:00,Going Straight Ahead
599,4482377,2021-11-25,09:16:00,Going Straight Ahead
600,4481507,2021-11-25,18:16:00,Making Left Turn
601,4481135,2021-11-26,19:10:00,Going Straight Ahead
602,4481972,2021-11-27,03:45:00,Going Straight Ahead
603,4482438,2021-11-27,15:00:00,Going Straight Ahead
604,4481526,2021-11-28,09:07:00,Going Straight Ahead
605,4481675,2021-11-28,14:06:00,Going Straight Ahead
606,4481938,2021-11-29,09:00:00,Making Left Turn
607,4482453,2021-11-30,06:30:00,Changing Lanes
608,4482264,2021-11-30,05:39:00,Going Straight Ahead
609,4483245,2021-12-02,21:55:00,Merging
610,4483291,2021-12-02,17:10:00,Going Straight Ahead
611,4483414,2021-12-03,09:00:00,Changing Lanes
612,4483065,2021-12-03,02:00:00,Going Straight Ahead
613,4483404,2021-12-04,17:40:00,Going Straight Ahead
